"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1994","CREATE - Deve cadastrar produto usando token do login","chromium","2026-08-18","passed","2026-08-18","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","88","DELETE - Deve excluir produto","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","2476","READ - Deve listar o produto cadastrado","chromium","2026-08-18","passed","2026-08-18","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","79","GET /produtos","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","74","CREATE - Deve criar usuário para login","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","4813","CADASTRO E LOGIN DO USUÁRIO","chromium","2026-08-18","passed","2026-08-18","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","78","LOGIN - Não deve realizar login com formato de e-mail inválido","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","2408","DELETE - Deve excluir o produto","chromium","2026-08-18","passed","2026-08-18","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","80","READ - Deve consultar produto","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","78","LOGIN - Não deve realizar login com senha vazia","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","162","GET /usuarios","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","574","GET /","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","77","UPDATE - Deve atualizar produto","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","76","LOGIN - Não deve realizar login sem informar senha","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","100","READ após UPDATE - Deve validar dados atualizados","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","96","LOGIN - Não deve realizar login sem enviar dados","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","74","READ após UPDATE","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","77","LOGIN - Deve realizar login com usuário criado","chromium","2026-08-18","passed","2026-08-18","Login usuário","user/login.spec.js","",""
"","92","GET /","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","1","LOGIN - Deve validar token gerado","chromium","2026-08-18","passed","2026-08-18","Login usuário","user/login.spec.js","",""
"","116","CREATE - Deve cadastrar produto","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","2024","READ - Deve listar usuário cadastrado","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","150","GET /usuarios","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","73","READ após DELETE - Deve validar que usuário foi removido","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","74","GET /produtos","chromium","2026-08-18","passed","2026-08-18","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","78","LOGIN - Não deve realizar login com e-mail inexistente","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","80","LOGIN - Não deve realizar login sem informar e-mail","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","88","READ após DELETE","chromium","2026-08-18","passed","2026-08-18","CRUD Produto","produtos/crud.spec.js","",""
"","79","READ - Deve consultar o usuário criado","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","82","LOGIN - Não deve realizar login com senha incorreta","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","80","CREATE - Deve criar um usuário","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","1279","LOGIN - Deve realizar login","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","80","DELETE - Deve excluir o usuário","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","78","UPDATE - Deve atualizar o usuário","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","user/crud.spec.js","",""
"","83","LOGIN - Não deve realizar login com e-mail vazio","chromium","2026-08-18","passed","2026-08-18","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","1","UPDATE - Deve alterar informações do usuário","chromium","2026-08-18","skipped","2026-08-18","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","76","CREATE - Deve criar usuário para login","chromium","2026-08-18","passed","2026-08-18","Login usuário","user/login.spec.js","",""
"","1223","CREATE - Deve validar usuário criado","chromium","2026-08-18","passed","2026-08-18","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
